ADC,Support,Wins,Total Games,Winrate
21,7,2,4,0.5
236,9,109,209,0.5215311004784688
81,76,2,6,0.3333333333333333
15,20,6,10,0.6
51,9,111,211,0.5260663507109005
236,83,0,4,0.0
133,25,22,55,0.4
104,64,1,2,0.5
67,19,0,3,0.0
67,23,1,2,0.5
51,76,11,34,0.3235294117647059
157,40,4,8,0.5
236,497,1161,2484,0.4673913043478261
22,79,23,57,0.40350877192982454
498,40,661,1309,0.5049656226126814
222,238,1,1,1.0
236,61,25,43,0.5813953488372093
67,3,56,109,0.5137614678899083
157,12,3,9,0.3333333333333333
202,497,252,594,0.42424242424242425
16,497,0,2,0.0
21,61,8,20,0.4
498,16,418,820,0.5097560975609756
115,89,32,56,0.5714285714285714
104,497,12,30,0.4
498,161,114,213,0.5352112676056338
81,57,218,417,0.5227817745803357
51,17,79,145,0.5448275862068965
133,223,2,7,0.2857142857142857
236,161,258,500,0.516
67,57,232,468,0.49572649572649574
21,9,23,48,0.4791666666666667
498,37,440,802,0.5486284289276808
498,43,642,1323,0.4852607709750567
498,54,33,65,0.5076923076923077
498,63,300,587,0.5110732538330494
236,21,59,126,0.46825396825396826
119,117,542,1052,0.5152091254752852
29,143,266,466,0.5708154506437768
7,37,1,1,1.0
498,111,189,386,0.4896373056994819
67,45,61,138,0.4420289855072464
236,57,449,877,0.5119726339794755
67,126,1,2,0.5
21,86,2,5,0.4
119,497,363,758,0.4788918205804749
22,57,186,373,0.49865951742627346
202,432,214,455,0.4703296703296703
429,37,85,158,0.5379746835443038
21,157,3,3,1.0
96,10,4,8,0.5
96,111,31,62,0.5
51,30,2,9,0.2222222222222222
110,99,72,181,0.39779005524861877
96,163,4,5,0.8
67,163,11,20,0.55
67,69,0,2,0.0
236,45,105,202,0.5198019801980198
51,69,3,10,0.3
29,113,6,16,0.375
21,163,9,16,0.5625
67,35,9,25,0.36
22,35,11,19,0.5789473684210527
110,35,3,7,0.42857142857142855
429,497,156,337,0.4629080118694362
22,69,4,4,1.0
110,45,17,39,0.4358974358974359
67,32,2,9,0.2222222222222222
96,201,128,227,0.5638766519823789
110,69,2,4,0.5
18,9,18,41,0.43902439024390244
236,202,2,5,0.4
202,57,109,232,0.4698275862068966
21,497,307,650,0.4723076923076923
498,90,66,149,0.4429530201342282
498,223,97,199,0.48743718592964824
202,103,5,7,0.7142857142857143
498,99,172,360,0.4777777777777778
51,45,119,240,0.49583333333333335
222,17,36,68,0.5294117647058824
51,107,2,5,0.4
110,497,176,394,0.4467005076142132
51,21,54,125,0.432
29,497,352,737,0.47761194029850745
236,106,13,39,0.3333333333333333
203,267,0,2,0.0
115,497,22,41,0.5365853658536586
119,26,134,216,0.6203703703703703
85,432,12,27,0.4444444444444444
81,497,471,1160,0.4060344827586207
498,9,41,81,0.5061728395061729
81,134,7,12,0.5833333333333334
67,101,11,21,0.5238095238095238
21,161,79,143,0.5524475524475524
81,3,52,121,0.4297520661157025
18,163,8,13,0.6153846153846154
236,113,28,52,0.5384615384615384
18,79,18,43,0.4186046511627907
18,164,2,6,0.3333333333333333
236,36,4,10,0.4
96,267,184,344,0.5348837209302325
236,79,99,174,0.5689655172413793
18,21,14,27,0.5185185185185185
115,57,10,20,0.5
42,12,17,36,0.4722222222222222
81,79,36,65,0.5538461538461539
29,78,11,18,0.6111111111111112
236,427,3,14,0.21428571428571427
29,161,66,129,0.5116279069767442
119,44,91,148,0.6148648648648649
236,20,27,47,0.574468085106383
119,10,8,16,0.5
81,64,10,18,0.5555555555555556
236,68,0,3,0.0
22,115,7,16,0.4375
104,161,8,15,0.5333333333333333
18,222,1,1,1.0
202,1,56,102,0.5490196078431373
429,14,14,28,0.5
22,78,22,42,0.5238095238095238
133,40,11,24,0.4583333333333333
498,57,204,399,0.5112781954887218
22,98,29,50,0.58
498,106,3,11,0.2727272727272727
22,163,16,26,0.6153846153846154
29,101,10,16,0.625
498,17,35,75,0.4666666666666667
61,54,2,3,0.6666666666666666
236,127,2,5,0.4
29,3,41,70,0.5857142857142857
6,14,1,2,0.5
51,104,2,3,0.6666666666666666
79,201,0,1,0.0
34,432,2,2,1.0
81,105,2,2,1.0
202,3,39,74,0.527027027027027
110,9,12,34,0.35294117647058826
429,1,22,57,0.38596491228070173
202,163,8,18,0.4444444444444444
133,53,29,51,0.5686274509803921
85,53,24,46,0.5217391304347826
119,432,338,593,0.5699831365935919
99,53,2,4,0.5
119,14,24,46,0.5217391304347826
67,21,39,64,0.609375
236,420,4,16,0.25
110,17,14,29,0.4827586206896552
236,163,16,46,0.34782608695652173
67,157,5,8,0.625
81,98,36,76,0.47368421052631576
81,161,122,297,0.4107744107744108
51,27,3,8,0.375
119,115,5,8,0.625
21,22,11,19,0.5789473684210527
104,90,1,4,0.25
74,412,5,8,0.625
85,161,5,9,0.5555555555555556
21,57,127,249,0.5100401606425703
85,143,12,25,0.48
51,163,32,70,0.45714285714285713
429,161,19,37,0.5135135135135135
498,78,23,45,0.5111111111111111
29,79,18,42,0.42857142857142855
498,12,261,539,0.4842300556586271
222,90,58,125,0.464
498,76,5,17,0.29411764705882354
432,89,1,2,0.5
18,161,44,106,0.41509433962264153
157,117,7,11,0.6363636363636364
119,34,13,23,0.5652173913043478
17,63,7,12,0.5833333333333334
17,432,5,14,0.35714285714285715
96,26,33,62,0.532258064516129
202,79,17,36,0.4722222222222222
85,267,23,35,0.6571428571428571
96,63,58,119,0.48739495798319327
222,32,5,12,0.4166666666666667
63,412,1,1,1.0
81,21,36,73,0.4931506849315068
81,164,11,18,0.6111111111111112
6,267,3,10,0.3
115,63,17,28,0.6071428571428571
21,113,12,27,0.4444444444444444
61,412,2,2,1.0
67,115,5,10,0.5
236,91,1,2,0.5
67,74,4,7,0.5714285714285714
119,161,78,152,0.5131578947368421
74,26,0,1,0.0
51,60,2,11,0.18181818181818182
17,53,11,31,0.3548387096774194
236,41,5,9,0.5555555555555556
96,20,6,11,0.5454545454545454
67,48,10,21,0.47619047619047616
119,223,69,153,0.45098039215686275
18,64,2,12,0.16666666666666666
236,115,9,18,0.5
81,163,16,31,0.5161290322580645
51,64,11,29,0.3793103448275862
29,48,6,13,0.46153846153846156
51,80,16,24,0.6666666666666666
18,45,20,38,0.5263157894736842
115,37,20,33,0.6060606060606061
18,3,25,55,0.45454545454545453
69,111,1,4,0.25
96,157,1,1,1.0
236,13,1,4,0.25
4,432,3,10,0.3
96,497,112,245,0.45714285714285713
236,164,13,32,0.40625
236,101,27,48,0.5625
85,63,22,39,0.5641025641025641
85,43,32,59,0.5423728813559322
51,101,30,70,0.42857142857142855
119,427,1,4,0.25
6,40,6,13,0.46153846153846156
29,164,1,4,0.25
133,16,17,26,0.6538461538461539
115,12,16,29,0.5517241379310345
236,74,6,19,0.3157894736842105
157,54,5,10,0.5
202,420,2,5,0.4
81,80,2,8,0.25
67,9,45,94,0.4787234042553192
429,420,1,4,0.25
15,45,15,36,0.4166666666666667
51,268,0,3,0.0
133,117,22,40,0.55
236,76,6,13,0.46153846153846156
202,78,20,34,0.5882352941176471
119,76,6,11,0.5454545454545454
18,427,2,7,0.2857142857142857
498,79,45,83,0.5421686746987951
22,3,45,89,0.5056179775280899
67,90,86,179,0.48044692737430167
22,420,2,6,0.3333333333333333
119,106,5,12,0.4166666666666667
222,48,6,15,0.4
498,84,1,3,0.3333333333333333
202,101,11,22,0.5
67,134,4,9,0.4444444444444444
202,90,48,102,0.47058823529411764
110,36,2,4,0.5
81,20,8,23,0.34782608695652173
21,10,9,24,0.375
202,21,22,50,0.44
22,9,50,89,0.5617977528089888
203,63,2,5,0.4
222,113,19,36,0.5277777777777778
498,10,8,17,0.47058823529411764
67,34,14,29,0.4827586206896552
18,78,8,25,0.32
96,58,0,1,0.0
119,31,4,14,0.2857142857142857
22,10,11,19,0.5789473684210527
81,34,12,23,0.5217391304347826
96,57,41,82,0.5
21,64,12,23,0.5217391304347826
157,45,0,1,0.0
85,117,26,51,0.5098039215686274
29,17,32,57,0.5614035087719298
119,27,1,1,1.0
222,254,1,2,0.5
29,85,2,5,0.4
222,61,12,27,0.4444444444444444
236,103,8,20,0.4
96,99,44,85,0.5176470588235295
133,143,10,20,0.5
115,117,19,41,0.4634146341463415
18,57,93,187,0.49732620320855614
51,427,14,24,0.5833333333333334
236,27,1,4,0.25
222,57,203,389,0.5218508997429306
6,412,8,20,0.4
110,22,3,8,0.375
114,111,0,2,0.0
81,85,9,21,0.42857142857142855
51,55,5,9,0.5555555555555556
82,53,13,21,0.6190476190476191
85,12,11,26,0.4230769230769231
133,3,2,5,0.4
119,59,4,5,0.8
99,25,11,18,0.6111111111111112
67,113,15,32,0.46875
236,55,3,9,0.3333333333333333
96,432,65,122,0.5327868852459017
222,77,1,1,1.0
498,44,94,189,0.4973544973544973
96,54,8,12,0.6666666666666666
498,122,2,4,0.5
157,432,6,13,0.46153846153846156
37,45,1,1,1.0
202,34,8,11,0.7272727272727273
21,101,7,15,0.4666666666666667
29,427,4,9,0.4444444444444444
